id;name;pronouns;area;area Label;power Level;color 1;color 2;color Animated?;signup Date;has donated;donated;coin;supporter End Date;boost End Date;is a Game Moderator;is Translator;is Supporter;is Boosted;runs ILs;runs FGs;runs;categories ILs;categories FGs;categories;games ILs;games FGs;games;platforms ILs;platforms FGs;platforms;wrs ILs;wrs FGs;wrs;podiums ILs;podiums FGs;podiums;obsoletes ILs;obsoletes FGs;obsoletes;Games with at least 1 wrs;categoriesMisc;levels
v81y7358;Prune_;;None;None;1;fuchsia;fuchsia;0;1531350500;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jo3n2oej;Haku1000;;None;None;1;mint;mint;0;1585738475;False;0;0;0;0;False;False;False;False;2;0;2;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
1xywk9n8;plums499al;;None;None;1;orange;orange;0;1560573034;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j9r7meoj;hypervice;He/Him;None;None;1;azure;white;0;1633900092;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8d4q13l8;KaiogaGamer;He/Him;None;None;1;white;green;0;1646065626;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xylpz1vj;phuclandgroup;;None;None;1;orange;orange;0;1637270220;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j96z63rj;GardenJoseph;He/Him;None;None;1;mint;mint;0;1613368011;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
y8dd6198;Maxthemaxer;;None;None;1;fuchsia;fuchsia;0;1566535848;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
qjor65ej;TomSPDy1;;None;None;1;green;green;0;1521696808;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j2y50kn8;Milanliebens;;None;None;1;azure;azure;0;1597190282;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8rp07qwj;ThomasRipy;;None;None;1;blue;blue;0;1599384135;False;0;0;0;0;False;False;False;False;0;2;2;0;2;2;0;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
qjol4k3j;zedmekis;;None;None;1;red;red;0;1508863721;False;0;0;0;0;True;False;False;False;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
j0366e4j;pearbear321;He/Him;None;None;1;azure;azure;0;1610426868;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wk0zvl8;N1gtwhisper;;None;None;1;red;red;0;1586576699;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8636np58;gbdvx;He/Him;None;None;1;azure;azure;0;1626843748;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j2ww3o6j;re6ce;;None;None;1;purple;lavender;0;1608744686;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8l4m13lj;Dabittendounut0;He/Him;None;None;1;fuchsia;orange;0;1622609175;False;0;2;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j2y9rop8;gamersaocubo;;None;None;1;red;red;0;1601509091;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x35onzej;11ernest10;;None;None;1;red;red;0;1605516025;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8e9oowpj;MiguelLugo05;;None;None;1;lavender;lavender;0;1589302493;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
