name;Platforms;URL;Categories
Armored Warriors;"Arcade; Xbox; PlayStation 4; Xbox One; PC; Switch; MiSTer";https://www.speedrun.com/armored_warriors;"2P Any%; 3P Any%; 1 CC Co-Op 2 Players; 1 CC Co-Op 3 Players"
ARMS;Switch;https://www.speedrun.com/arms;2P Grand Prix
Army of Two;"PlayStation 3; Xbox 360";https://www.speedrun.com/ao2;Any% Co-op
Army of Two: The 40th Day;"PlayStation 3; PlayStation Portable; Xbox 360";https://www.speedrun.com/army_of_two_the_40th_day;"Any% Co-op; Any% Ng+ Co-op"
Army of TWO: The Devil's Cartel;"PlayStation 3; Xbox 360";https://www.speedrun.com/army_of_two_the_devils_cartel;"Any% Co-op; Any% NG+ Co-op"
Arnold Palmer Tournament Golf;Sega Genesis;https://www.speedrun.com/arnold_palmer_tournament_golf;2 Player (JP Course)
Asphalt 6: Adrenaline;"Android; iOS; Macintosh";https://www.speedrun.com/asphalt_6_adrenaline;Bronze League%
Assassin's Creed: Unity;"PlayStation 4; Xbox One; PC";https://www.speedrun.com/acu;"2P Any%; 3P Any%; 4P Any%"
Assault Android Cactus;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/aac;"Campaign Co-op; Boss Rush Co-op; Infinity Drive"
Assault ChaingunS KM Switch;Switch;https://www.speedrun.com/assault_chaingun_km_switch;All stages clear co-ops
Assault: Retribution;"PlayStation 2; PlayStation; PlayStation 3";https://www.speedrun.com/assault_retribution;Co-op
Astérix & Obélix;"Super Nintendo; Game Boy Advance; Nintendo DS; PC; Game Boy Player";https://www.speedrun.com/aando;"Any% Co-Op; 100% Co-Op"
Astérix & Obélix Kick Buttix (XXL for USA);"PlayStation 2; PlayStation 3";https://www.speedrun.com/aokb;"Any%; Low%; 100%"
Astérix Arcade;Arcade;https://www.speedrun.com/aa;Coop
Asterix at the Olympic Games;"Wii U; PlayStation 2; PlayStation 3; Xbox 360; Xbox One; PC; Wii";https://www.speedrun.com/aaog;"Any%2P; 100%2P"
Astroneer;"PlayStation 4; Xbox One; PC";https://www.speedrun.com/astroneer;"Any%; Orbit%; Standard Game; Core%; Tutorial%; RTG%"
Atom Zombie Smasher;"PC; Macintosh; Linux";https://www.speedrun.com/atom_zombie_smasher;"Any% Co-op; Hardcore%; IKM 500%"
Attack on Titan 2;"PlayStation Vita; PlayStation 4; Xbox One; PC; Switch; PlayStation 4 Pro; PlayStation 5; Xbox Series X; Xbox Series S";https://www.speedrun.com/attack_on_titan_2;"SS Rank - Duo; SS Rank - Trio; SS Rank - Quartet"
Attack on Titan Tribute Game;"PC; Web";https://www.speedrun.com/attack_on_titan_tribute_game;"Co-op runs; Annie; City (2 Players)"
Avatar: The Last Airbender - Into the Inferno;"PlayStation 2; Wii";https://www.speedrun.com/atla_iti;"Any% Co-op; 100% Co-op; Any% Co-op"
Avatar: The Last Airbender - The Burning Earth;"PlayStation 2; Xbox 360; Wii";https://www.speedrun.com/tbe;"Any% Co-op; Any% Co-op"
Azu-Beach;PC;https://www.speedrun.com/azu-beach;Co-op
