name;platforms;url;categories FG;levels;categories IL;total
1917 - The Alien Invasion DX;PC;https://www.speedrun.com/1917_-_the_alien_invasion_dx;3;0;0; 
1941: Counter Attack;Arcade, PlayStation 2, PlayStation Portable, Xbox, PlayStation 4, TurboGrafx-16/PC Engine, PC-FX, Switch, PlayStation 5, MiSTer;https://www.speedrun.com/1941_counter_attack;2;0;0; 
1942;Nintendo Entertainment System, Game Boy Color, Arcade;https://www.speedrun.com/1942;3;0;0; 
1942: First Strike;iOS;https://www.speedrun.com/1942_first_strike;2;0;0; 
1942: Joint Strike;PlayStation 3, Xbox 360, PSN Download, Xbox 360 Arcade;https://www.speedrun.com/1942_joint_strike;2;0;0; 
1943 Kai: Midway Kaisen;TurboGrafx-16/PC Engine;https://www.speedrun.com/1943_kai_midway_kaisen;3;0;0; 
1943: The Battle of Midway;Nintendo Entertainment System, Sega Saturn, Arcade, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, Xbox 360, Xbox, PlayStation 4, Xbox One, PC, Amiga, PC-FX, Commodore 64, Switch, Atari ST, Amstrad CPC, ZX Spectrum, PlayStation 5, MiSTer;https://www.speedrun.com/1943_the_battle_of_midway;26;0;0; 
1943: The Battle of Midway Mark II;Arcade, MiSTer;https://www.speedrun.com/1943_the_battle_of_midway_mark_ii;4;0;0; 
1944: The Loop Master;Arcade, Xbox, PlayStation 4, Switch, PlayStation 5, MiSTer;https://www.speedrun.com/1944_the_loop_master_;2;0;0; 
194X: 3D Dogfight;Java Phone;https://www.speedrun.com/194x_3d_dogfight;1;0;0; 
1954: Alcatraz;PC;https://www.speedrun.com/1954_alcatraz;1;0;0; 
1979 Revolution: Black Friday;PC, Android, iOS;https://www.speedrun.com/1979_revolution_black_friday;1;0;0; 
1982 (Steam);PC;https://www.speedrun.com/1982;9;0;0; 
198X;PlayStation 4, PC, Switch;https://www.speedrun.com/198x;2;5;5; 
1999 Bizarre Obby;;https://www.speedrun.com/1999_bizarre_obby;1;0;0; 
1999: Hore, Mita koto ka! Seikimatsu;Nintendo Entertainment System;https://www.speedrun.com/1999_hore_mita_koto_ka_seikimatsu;1;0;0; 
19XX: The War Against Destiny;Arcade, Xbox, PlayStation 4, Switch, PlayStation 5, MiSTer;https://www.speedrun.com/19xx_the_war_against_destiny;2;0;0; 
1BeatHeart;PC;https://www.speedrun.com/1beatheart;1;0;0; 
1bitHeart;PC;https://www.speedrun.com/1bitheart;4;1;1; 
1nsane;PC;https://www.speedrun.com/1nsane;12;0;0; 
1px;PC, Android, iOS;https://www.speedrun.com/1px;6;0;0; 
1v1.LOL;;https://www.speedrun.com/1v1lol;4;8;16; 
2;PC;https://www.speedrun.com/2;3;0;0; 
2 Builders 2 Tools;PC;https://www.speedrun.com/2b2t;14;0;0; 
2 Cars;Android, iOS, Web;https://www.speedrun.com/2_cars;6;0;0; 
2 Fast 4 You;PC;https://www.speedrun.com/2_fast_4_you;4;9;9; 
2 Games in One! - Marble Madness + Klax;Game Boy Advance, Nintendo DS, Game Boy Player, Game Boy Interface;https://www.speedrun.com/mmklax;2;0;0; 
2 Ninjas 1 Cup;PC;https://www.speedrun.com/2_ninjas_1_cup;2;0;0; 
2 Pipes 2;PC;https://www.speedrun.com/2p2;1;0;0; 
2 Player Games - Bar;Android, iOS;https://www.speedrun.com/2pgb;3;9;27; 
2 Player Games - Pastimes;Android, iOS;https://www.speedrun.com/2pgp;20;16;112; 
2 Player Games - School;Android, iOS;https://www.speedrun.com/2pgschool;9;6;42; 
2 Player Games - Sports;Android, iOS;https://www.speedrun.com/2pgs;6;15;45; 
